Section,Metric,Value
Protein Statistics,Unique Protein Names,352.0
Protein Statistics,Top 20 Most Frequent Protein Names | MerR family transcriptional regulator,2964.0
Protein Statistics,Top 20 Most Frequent Protein Names | Redox-sensitive transcriptional activator SoxR,1763.0
Protein Statistics,Top 20 Most Frequent Protein Names | Cu(I)-responsive transcriptional regulator,1703.0
Protein Statistics,Top 20 Most Frequent Protein Names | MerR family DNA-binding transcriptional regulator,1038.0
Protein Statistics,Top 20 Most Frequent Protein Names | DNA-binding transcriptional MerR regulator,709.0
Protein Statistics,Top 20 Most Frequent Protein Names | HTH merR-type domain-containing protein,571.0
Protein Statistics,Top 20 Most Frequent Protein Names | Helix-turn-helix domain-containing protein,506.0
Protein Statistics,"Top 20 Most Frequent Protein Names | DNA-binding transcriptional regulator, MerR family",444.0
Protein Statistics,"Top 20 Most Frequent Protein Names | Transcriptional regulator, MerR family",399.0
Protein Statistics,Top 20 Most Frequent Protein Names | Transcriptional regulator,291.0
Protein Statistics,Top 20 Most Frequent Protein Names | Mercuric resistance operon regulatory protein,274.0
Protein Statistics,Top 20 Most Frequent Protein Names | MerR family redox-sensitive transcriptional activator SoxR,273.0
Protein Statistics,Top 20 Most Frequent Protein Names | TioE family transcriptional regulator,263.0
Protein Statistics,Top 20 Most Frequent Protein Names | Heavy metal-responsive transcriptional regulator,250.0
Protein Statistics,Top 20 Most Frequent Protein Names | MerR family DNA-binding protein,214.0
Protein Statistics,Top 20 Most Frequent Protein Names | IS607 family transposase,160.0
Protein Statistics,Top 20 Most Frequent Protein Names | Cd(II)/Pb(II)-responsive transcriptional regulator,155.0
Protein Statistics,"Top 20 Most Frequent Protein Names | MerR family transcriptional regulator, redox-sensitive transcriptional activator SoxR",128.0
Protein Statistics,Top 20 Most Frequent Protein Names | HTH-type transcriptional regulator CueR,114.0
Protein Statistics,Top 20 Most Frequent Protein Names | HTH-type transcriptional regulator HmrR,103.0
Gene Statistics,Unique Gene Names,10452.0
Gene Statistics,Missing Gene Names,336.0
Gene Statistics,Top 20 Most Frequent Gene Names | soxR,1422.0
Gene Statistics,Top 20 Most Frequent Gene Names | cueR,1163.0
Gene Statistics,Top 20 Most Frequent Gene Names | zntR,110.0
Gene Statistics,Top 20 Most Frequent Gene Names | cadR,103.0
Gene Statistics,Top 20 Most Frequent Gene Names | hmrR,87.0
Gene Statistics,Top 20 Most Frequent Gene Names | merR,86.0
Gene Statistics,Top 20 Most Frequent Gene Names | repA,37.0
Gene Statistics,Top 20 Most Frequent Gene Names | hmrR_1,31.0
Gene Statistics,Top 20 Most Frequent Gene Names | dcm,29.0
Gene Statistics,Top 20 Most Frequent Gene Names | zntR_2,28.0
Gene Statistics,Top 20 Most Frequent Gene Names | hmrR2,24.0
Gene Statistics,Top 20 Most Frequent Gene Names | soxR_2,23.0
Gene Statistics,Top 20 Most Frequent Gene Names | zntR_1,21.0
Gene Statistics,Top 20 Most Frequent Gene Names | merR1,20.0
