Organism,Count
Bosea vaviloviae,11
Haloactinospora alba,11
Nonomuraea insulae,11
Piscinibacter gummiphilus,10
Primorskyibacter flagellatus,9
Virgisporangium aurantiacum,8
Streptomyces nigrescens,8
Piscinibacter sakaiensis,8
Moorena producens 3L,8
Moorena bouillonii PNG,8
Nocardia speluncae,8
Actinomadura meridiana,8
Mesorhizobium australicum,8
Nonomuraea jiangxiensis,8
Acidovorax soli,8
Roseateles saccharophilus,8
Hephaestia caeni,7
Streptosporangium sandarakinum,7
Paeniroseomonas aquatica,7
Thalassococcus profundi,7
