Protein_Name,Count
MerR family transcriptional regulator,2964
Redox-sensitive transcriptional activator SoxR,1763
Cu(I)-responsive transcriptional regulator,1703
MerR family DNA-binding transcriptional regulator,1038
DNA-binding transcriptional MerR regulator,709
HTH merR-type domain-containing protein,571
Helix-turn-helix domain-containing protein,506
"DNA-binding transcriptional regulator, MerR family",444
"Transcriptional regulator, MerR family",399
Transcriptional regulator,291
Mercuric resistance operon regulatory protein,274
MerR family redox-sensitive transcriptional activator SoxR,273
TioE family transcriptional regulator,263
Heavy metal-responsive transcriptional regulator,250
MerR family DNA-binding protein,214
IS607 family transposase,160
Cd(II)/Pb(II)-responsive transcriptional regulator,155
"MerR family transcriptional regulator, redox-sensitive transcriptional activator SoxR",128
HTH-type transcriptional regulator CueR,114
HTH-type transcriptional regulator HmrR,103
